time,collision-num,trajectory-num,success,q
3.97459,23,15,1,0.196581
4.16628,23,16,1,0.224664
4.36652,23,17,1,0.252747
4.56663,23,18,1,0.28083
4.86239,23,19,1,0.308913
5.0058,23,20,1,0.336996
5.12586,23,21,1,0.365079
5.23859,23,22,1,0.393162
5.38414,23,23,1,0.421245
5.53164,23,24,1,0.449328
5.64234,23,25,1,0.477411
5.8541,23,26,1,0.505495
6.07958,23,27,1,0.533578
6.20416,23,28,1,0.561661
6.32811,23,29,1,0.589744
2.49347,24,8,1,0.0
2.79397,24,9,1,0.029304
3.0087,24,10,1,0.058608
3.2072,24,11,1,0.087912
3.5099,24,12,1,0.117216
3.65996,24,13,1,0.14652
3.87731,24,14,1,0.175824
4.11297,24,15,1,0.205128
4.28727,24,16,1,0.234432
4.47443,24,17,1,0.263736
4.69173,24,18,1,0.29304
4.80494,24,19,1,0.322344
5.07804,24,20,1,0.351648
5.20914,24,21,1,0.380952
5.41906,24,22,1,0.410256
5.64728,24,23,1,0.43956
5.61327,24,24,1,0.468864
5.79901,24,25,1,0.498168
6.00726,24,26,1,0.527473
6.41723,24,27,1,0.556777
6.39968,24,28,1,0.586081
6.51082,24,29,1,0.615385
2.51684,25,8,1,0.0
2.81036,25,9,1,0.030525
3.05239,25,10,1,0.06105
3.27724,25,11,1,0.091575
3.54192,25,12,1,0.1221
3.70618,25,13,1,0.152625
3.92311,25,14,1,0.18315
4.10413,25,15,1,0.213675
4.36928,25,16,1,0.2442
4.51504,25,17,1,0.274725
4.74205,25,18,1,0.30525
4.96134,25,19,1,0.335775
5.14171,25,20,1,0.3663
5.32737,25,21,1,0.396825
5.52306,25,22,1,0.42735
5.59105,25,23,1,0.457875
5.74414,25,24,1,0.4884
5.9559,25,25,1,0.518926
6.14294,25,26,1,0.549451
6.26867,25,27,1,0.579976
6.43163,25,28,1,0.610501
6.63198,25,29,1,0.641026
2.72934,26,8,1,0.0
3.04038,26,9,1,0.031746
3.24021,26,10,1,0.063492
3.53096,26,11,1,0.095238
3.81171,26,12,1,0.126984
3.95238,26,13,1,0.15873
4.15274,26,14,1,0.190476
4.52788,26,15,1,0.222222
4.68166,26,16,1,0.253968
4.87005,26,17,1,0.285714
5.07032,26,18,1,0.31746
5.33652,26,19,1,0.349206
5.51138,26,20,1,0.380952
5.75505,26,21,1,0.412698
6.0377,26,22,1,0.444444
6.27773,26,23,1,0.47619
6.10242,26,24,1,0.507937
6.32882,26,25,1,0.539683
6.56077,26,26,1,0.571429
6.92896,26,27,1,0.603175
6.81512,26,28,1,0.634921
6.93597,26,29,1,0.666667
2.79526,27,8,1,0.0
3.12837,27,9,1,0.032967
3.39009,27,10,1,0.065934
3.6123,27,11,1,0.098901
3.89147,27,12,1,0.131868
4.08335,27,13,1,0.164835
4.3638,27,14,1,0.197802
4.50462,27,15,1,0.230769
4.79826,27,16,1,0.263736
5.06037,27,17,1,0.296703
5.18301,27,18,1,0.32967
5.43132,27,19,1,0.362637
5.64448,27,20,1,0.395604
5.88818,27,21,1,0.428571
6.05551,27,22,1,0.461538
6.22934,27,23,1,0.494505
6.34771,27,24,1,0.527473
6.61047,27,25,1,0.56044
6.74156,27,26,1,0.593407
6.93394,27,27,1,0.626374
7.18004,27,28,1,0.659341
7.48636,27,29,1,0.692308
2.87034,28,8,1,0.0
3.43512,28,9,1,0.034188
3.47286,28,10,1,0.068376
3.85069,28,11,1,0.102564
4.19046,28,12,1,0.136752
4.29351,28,13,1,0.17094
4.4687,28,14,1,0.205128
4.71309,28,15,1,0.239316
5.08778,28,16,1,0.273504
5.17017,28,17,1,0.307692
5.41818,28,18,1,0.34188
5.72889,28,19,1,0.376068
5.8906,28,20,1,0.410256
6.08721,28,21,1,0.444444
6.2017,28,22,1,0.478632
6.39991,28,23,1,0.512821
6.58817,28,24,1,0.547009
6.88265,28,25,1,0.581197
6.95541,28,26,1,0.615385
7.14348,28,27,1,0.649573
7.30659,28,28,1,0.683761
7.44609,28,29,1,0.717949
2.91123,29,8,1,0.0
3.29517,29,9,1,0.035409
3.57962,29,10,1,0.070818
3.81089,29,11,1,0.106227
4.12014,29,12,1,0.141636
4.31531,29,13,1,0.177045
4.54033,29,14,1,0.212454
4.78782,29,15,1,0.247863
5.02818,29,16,1,0.283272
5.21003,29,17,1,0.318681
5.49743,29,18,1,0.35409
5.75084,29,19,1,0.389499
6.02987,29,20,1,0.424908
6.15499,29,21,1,0.460317
6.35262,29,22,1,0.495726
6.538,29,23,1,0.531136
6.80685,29,24,1,0.566545
6.87691,29,25,1,0.601954
7.04619,29,26,1,0.637363
7.18715,29,27,1,0.672772
7.36748,29,28,1,0.708181
7.53851,29,29,1,0.74359
2.96534,30,8,1,0.0
3.27834,30,9,1,0.03663
3.53613,30,10,1,0.07326
3.85095,30,11,1,0.10989
4.17363,30,12,1,0.14652
4.4414,30,13,1,0.18315
4.74566,30,14,1,0.21978
4.88505,30,15,1,0.25641
5.25898,30,16,1,0.29304
5.4402,30,17,1,0.32967
5.94198,30,18,1,0.3663
5.94552,30,19,1,0.40293
6.25585,30,20,1,0.43956
6.4064,30,21,1,0.47619
6.87898,30,22,1,0.512821
7.11015,30,23,1,0.549451
7.16719,30,24,1,0.586081
7.80686,30,25,1,0.622711
8.37631,30,26,1,0.659341
8.19425,30,27,1,0.695971
7.63487,30,28,1,0.732601
7.70138,30,29,1,0.769231
3.01406,31,8,1,0.0
3.41882,31,9,1,0.037851
3.58527,31,10,1,0.075702
3.92029,31,11,1,0.113553
4.27416,31,12,1,0.151404
4.459,31,13,1,0.189255
4.7056,31,14,1,0.227106
4.85312,31,15,1,0.264957
5.24345,31,16,1,0.302808
5.43431,31,17,1,0.340659
5.6023,31,18,1,0.37851
5.98034,31,19,1,0.416361
6.16463,31,20,1,0.454212
6.33111,31,21,1,0.492063
6.47356,31,22,1,0.529915
6.63965,31,23,1,0.567766
6.86255,31,24,1,0.605617
7.06912,31,25,1,0.643468
7.40243,31,26,1,0.681319
7.51335,31,27,1,0.71917
7.56609,31,28,1,0.757021
7.79653,31,29,1,0.794872
3.18259,32,8,1,0.0
3.49186,32,9,1,0.039072
3.72222,32,10,1,0.078144
4.02564,32,11,1,0.117216
4.27931,32,12,1,0.156288
4.49907,32,13,1,0.19536
4.7565,32,14,1,0.234432
5.04454,32,15,1,0.273504
5.26883,32,16,1,0.312576
5.52697,32,17,1,0.351648
5.83496,32,18,1,0.39072
6.03399,32,19,1,0.429792
6.2567,32,20,1,0.468864
6.44749,32,21,1,0.507937
6.61362,32,22,1,0.547009
6.78089,32,23,1,0.586081
7.02531,32,24,1,0.625153
7.18705,32,25,1,0.664225
7.39306,32,26,1,0.703297
7.58363,32,27,1,0.742369
7.79339,32,28,1,0.781441
7.98398,32,29,1,0.820513
3.13507,33,8,1,0.0
3.48349,33,9,1,0.040293
3.75197,33,10,1,0.080586
4.09443,33,11,1,0.120879
4.40412,33,12,1,0.161172
4.6518,33,13,1,0.201465
4.85207,33,14,1,0.241758
5.08097,33,15,1,0.282051
5.35321,33,16,1,0.322344
5.6008,33,17,1,0.362637
5.90809,33,18,1,0.40293
6.13284,33,19,1,0.443223
6.40358,33,20,1,0.483516
6.56474,33,21,1,0.52381
6.77742,33,22,1,0.564103
6.9934,33,23,1,0.604396
7.16136,33,24,1,0.644689
7.35659,33,25,1,0.684982
7.67811,33,26,1,0.725275
7.85733,33,27,1,0.765568
7.99264,33,28,1,0.805861
8.13974,33,29,1,0.846154
3.26301,34,8,1,0.0
3.60813,34,9,1,0.041514
3.90595,34,10,1,0.083028
4.2582,34,11,1,0.124542
4.56795,34,12,1,0.166056
4.74842,34,13,1,0.20757
5.03136,34,14,1,0.249084
5.2128,34,15,1,0.290598
5.62871,34,16,1,0.332112
5.87768,34,17,1,0.373626
5.97333,34,18,1,0.41514
6.31749,34,19,1,0.456654
6.59165,34,20,1,0.498168
6.78855,34,21,1,0.539683
6.98004,34,22,1,0.581197
7.28,34,23,1,0.622711
7.31079,34,24,1,0.664225
7.60416,34,25,1,0.705739
7.80283,34,26,1,0.747253
8.00231,34,27,1,0.788767
8.07088,34,28,1,0.830281
8.35823,34,29,1,0.871795
3.35112,35,8,1,0.0
3.68751,35,9,1,0.042735
4.02655,35,10,1,0.08547
4.35615,35,11,1,0.128205
4.58649,35,12,1,0.17094
4.79551,35,13,1,0.213675
5.13699,35,14,1,0.25641
5.35543,35,15,1,0.299145
5.69835,35,16,1,0.34188
5.81488,35,17,1,0.384615
6.18547,35,18,1,0.42735
6.35184,35,19,1,0.470085
6.64831,35,20,1,0.512821
6.8715,35,21,1,0.555556
7.048,35,22,1,0.598291
7.26426,35,23,1,0.641026
7.46766,35,24,1,0.683761
7.77709,35,25,1,0.726496
7.86736,35,26,1,0.769231
8.12225,35,27,1,0.811966
8.29961,35,28,1,0.854701
8.5828,35,29,1,0.897436
3.39356,36,8,1,0.0
3.80166,36,9,1,0.043956
4.0864,36,10,1,0.087912
4.39757,36,11,1,0.131868
4.71807,36,12,1,0.175824
5.0,36,13,1,0.21978
5.3588,36,14,1,0.263736
5.52266,36,15,1,0.307692
5.76265,36,16,1,0.351648
6.08388,36,17,1,0.395604
6.39671,36,18,1,0.43956
6.59589,36,19,1,0.483516
6.99676,36,20,1,0.527473
7.21799,36,21,1,0.571429
7.47966,36,22,1,0.615385
7.65584,36,23,1,0.659341
7.70403,36,24,1,0.703297
8.21468,36,25,1,0.747253
8.19118,36,26,1,0.791209
8.24169,36,27,1,0.835165
8.79679,36,28,1,0.879121
8.87276,36,29,1,0.923077
3.42009,37,8,1,0.0
3.80668,37,9,1,0.045177
4.2551,37,10,1,0.090354
4.5969,37,11,1,0.135531
4.81005,37,12,1,0.180708
5.02559,37,13,1,0.225885
5.35842,37,14,1,0.271062
5.60874,37,15,1,0.316239
5.89643,37,16,1,0.361416
6.0784,37,17,1,0.406593
6.4415,37,18,1,0.45177
6.78857,37,19,1,0.496947
7.08529,37,20,1,0.542125
7.25145,37,21,1,0.587302
7.44059,37,22,1,0.632479
7.59823,37,23,1,0.677656
7.77423,37,24,1,0.722833
7.9624,37,25,1,0.76801
8.27213,37,26,1,0.813187
8.61859,37,27,1,0.858364
8.86241,37,28,1,0.903541
8.98127,37,29,1,0.948718
3.5487,38,8,1,0.0
3.93741,38,9,1,0.046398
4.31215,38,10,1,0.092796
4.75045,38,11,1,0.139194
4.85241,38,12,1,0.185592
5.255,38,13,1,0.23199
5.56526,38,14,1,0.278388
5.8867,38,15,1,0.324786
6.07792,38,16,1,0.371184
6.23503,38,17,1,0.417582
6.55251,38,18,1,0.46398
6.99049,38,19,1,0.510379
7.10098,38,20,1,0.556777
7.51333,38,21,1,0.603175
7.53784,38,22,1,0.649573
7.82576,38,23,1,0.695971
8.14972,38,24,1,0.742369
8.16708,38,25,1,0.788767
8.44922,38,26,1,0.835165
8.82479,38,27,1,0.881563
8.81816,38,28,1,0.927961
9.00243,38,29,1,0.974359
3.58733,39,8,1,0.0
4.05754,39,9,1,0.047619
4.33157,39,10,1,0.095238
4.66322,39,11,1,0.142857
4.95128,39,12,1,0.190476
5.28691,39,13,1,0.238095
5.58852,39,14,1,0.285714
5.88443,39,15,1,0.333333
6.29987,39,16,1,0.380952
6.52975,39,17,1,0.428571
6.70188,39,18,1,0.47619
6.95037,39,19,1,0.52381
7.30608,39,20,1,0.571429
7.50538,39,21,1,0.619048
7.79447,39,22,1,0.666667
7.98713,39,23,1,0.714286
8.19148,39,24,1,0.761905
8.32037,39,25,1,0.809524
8.62259,39,26,1,0.857143
