time,collision-num,trajectory-num,success
0.69632,1,26,1
0.821039,1,27,1
0.86994,1,27,1
0.934061,1,27,1
0.736909,1,27,1
0.946582,1,27,1
0.877631,1,27,1
0.701225,1,27,1
0.872738,1,27,1
0.852003,1,27,1
0.69654,1,27,1
0.880779,1,28,1
0.943207,1,28,1
0.733199,1,28,1
0.908142,1,28,1
0.802595,1,28,1
0.825262,1,28,1
0.679488,1,28,1
0.858215,1,28,1
0.83705,1,28,1
0.675212,1,28,1
0.866843,1,29,1
0.90877,1,29,1
0.937838,1,29,1
0.700209,1,29,1
0.838979,1,29,1
0.924028,1,29,1
0.977974,1,29,1
0.728153,1,29,1
0.940885,1,29,1
0.952441,1,29,1
0.339858,2,11,1
0.339911,2,11,1
0.512986,2,11,1
0.358671,2,11,1
0.353113,2,11,1
0.481349,2,11,1
0.355707,2,11,1
0.343499,2,11,1
0.484584,2,11,1
0.341683,2,11,1
0.368912,2,12,1
0.505866,2,12,1
0.374134,2,12,1
0.367574,2,12,1
0.383784,2,12,1
0.564181,2,12,1
0.377862,2,12,1
0.38238,2,12,1
0.519681,2,12,1
0.360423,2,12,1
0.385126,2,13,1
0.548784,2,13,1
0.392559,2,13,1
0.517677,2,13,1
0.409465,2,13,1
0.413271,2,13,1
0.550482,2,13,1
0.393156,2,13,1
0.392846,2,13,1
0.550597,2,13,1
0.417819,2,14,1
0.417093,2,14,1
0.562401,2,14,1
0.428381,2,14,1
0.554304,2,14,1
0.460701,2,14,1
0.428829,2,14,1
0.607468,2,14,1
0.436334,2,14,1
0.420538,2,14,1
0.626226,2,15,1
0.442523,2,15,1
0.580524,2,15,1
0.436497,2,15,1
0.431731,2,15,1
0.58101,2,15,1
0.510845,2,15,1
0.668504,2,15,1
0.433643,2,15,1
0.432158,2,15,1
0.604333,2,16,1
0.461775,2,16,1
0.603618,2,16,1
0.496122,2,16,1
0.680925,2,16,1
0.554157,2,16,1
0.470639,2,16,1
0.657964,2,16,1
0.505033,2,16,1
0.616354,2,16,1
0.486564,2,17,1
0.63168,2,17,1
0.488037,2,17,1
0.48247,2,17,1
0.623366,2,17,1
0.486212,2,17,1
0.625053,2,17,1
0.489044,2,17,1
0.875962,2,17,1
0.502033,2,17,1
0.696053,2,18,1
0.527317,2,18,1
0.694463,2,18,1
0.5178,2,18,1
0.512297,2,18,1
0.662667,2,18,1
0.51313,2,18,1
0.654207,2,18,1
0.514426,2,18,1
0.663392,2,18,1
0.548478,2,19,1
0.678262,2,19,1
0.538778,2,19,1
0.686929,2,19,1
0.538669,2,19,1
0.678793,2,19,1
0.537157,2,19,1
0.677747,2,19,1
0.536847,2,19,1
0.681055,2,19,1
0.559149,2,20,1
0.698523,2,20,1
0.566914,2,20,1
0.711503,2,20,1
0.582118,2,20,1
0.747402,2,20,1
0.579754,2,20,1
0.71068,2,20,1
0.558666,2,20,1
0.701463,2,20,1
0.72047,2,21,1
0.590722,2,21,1
0.725536,2,21,1
0.597352,2,21,1
0.769806,2,21,1
0.615026,2,21,1
0.769373,2,21,1
0.6259,2,21,1
0.733718,2,21,1
0.58619,2,21,1
0.789759,2,22,1
0.842595,2,22,1
0.702526,2,22,1
0.840831,2,22,1
0.632345,2,22,1
0.751122,2,22,1
0.620021,2,22,1
0.75423,2,22,1
0.737193,2,22,1
0.630217,2,22,1
0.777607,2,23,1
0.635038,2,23,1
0.771738,2,23,1
0.732335,2,23,1
0.826233,2,23,1
0.820366,2,23,1
0.669125,2,23,1
0.814149,2,23,1
0.667871,2,23,1
0.811592,2,23,1
0.858228,2,24,1
0.707374,2,24,1
0.827051,2,24,1
0.69872,2,24,1
0.885074,2,24,1
0.897582,2,24,1
0.73909,2,24,1
0.888407,2,24,1
0.831318,2,24,1
0.690655,2,24,1
0.853129,2,25,1
0.761102,2,25,1
0.91184,2,25,1
0.83544,2,25,1
0.83571,2,25,1
0.86512,2,25,1
0.844552,2,25,1
0.80286,2,25,1
0.839913,2,25,1
