time,collision-num,trajectory-num,success,q
3.0606,13,20,1,0.166667
3.1806,13,21,1,0.185185
3.30032,13,22,1,0.203704
3.40948,13,23,1,0.222222
3.60525,13,24,1,0.240741
3.78696,13,25,1,0.259259
3.86105,13,26,1,0.277778
4.08671,13,27,1,0.296296
4.18128,13,28,1,0.314815
4.07612,13,29,1,0.333333
2.04287,14,11,1,0.0
2.15181,14,12,1,0.019943
2.32977,14,13,1,0.039886
2.41555,14,14,1,0.059829
2.55553,14,15,1,0.079772
2.78187,14,16,1,0.099715
2.85705,14,17,1,0.119658
2.93277,14,18,1,0.139601
3.0886,14,19,1,0.159544
3.19931,14,20,1,0.179487
3.25717,14,21,1,0.19943
3.36981,14,22,1,0.219373
3.54934,14,23,1,0.239316
3.69869,14,24,1,0.259259
3.8274,14,25,1,0.279202
3.93523,14,26,1,0.299145
4.10057,14,27,1,0.319088
4.18182,14,28,1,0.339031
4.41146,14,29,1,0.358974
2.54509,15,11,1,0.0
2.63794,15,12,1,0.021368
2.82401,15,13,1,0.042735
2.92186,15,14,1,0.064103
3.17186,15,15,1,0.08547
3.25085,15,16,1,0.106838
3.4215,15,17,1,0.128205
3.57982,15,18,1,0.149573
3.74459,15,19,1,0.17094
3.85342,15,20,1,0.192308
3.84278,15,21,1,0.213675
4.16836,15,22,1,0.235043
4.32428,15,23,1,0.25641
4.48507,15,24,1,0.277778
4.57931,15,25,1,0.299145
4.65629,15,26,1,0.320513
4.92315,15,27,1,0.34188
4.97155,15,28,1,0.363248
5.15054,15,29,1,0.384615
2.62933,16,11,1,0.0
2.90431,16,12,1,0.022792
3.0465,16,13,1,0.045584
3.15797,16,14,1,0.068376
3.01796,16,15,1,0.091168
3.16791,16,16,1,0.11396
3.3891,16,17,1,0.136752
3.70081,16,18,1,0.159544
3.5554,16,19,1,0.182336
3.67825,16,20,1,0.205128
3.91178,16,21,1,0.22792
4.08397,16,22,1,0.250712
4.1219,16,23,1,0.273504
4.28999,16,24,1,0.296296
4.52671,16,25,1,0.319088
4.62638,16,26,1,0.34188
4.7307,16,27,1,0.364672
4.86035,16,28,1,0.387464
5.14107,16,29,1,0.410256
2.56151,17,11,1,0.0
2.64433,17,12,1,0.024217
2.9512,17,13,1,0.048433
3.05212,17,14,1,0.07265
3.16365,17,15,1,0.096866
3.412,17,16,1,0.121083
3.61579,17,17,1,0.145299
3.66388,17,18,1,0.169516
3.83133,17,19,1,0.193732
3.84591,17,20,1,0.217949
3.95434,17,21,1,0.242165
4.09938,17,22,1,0.266382
4.27745,17,23,1,0.290598
4.62161,17,24,1,0.314815
